Spanish dataset,,,,,,,English dataset,,,,,
#id,name_ES,Human Annotator 1,Human Annotator 2,Agreement_ES,comments,,#id,name_EN,Human Annotator 1,Human Annotator 2,Agreement_EN,comments
67,proteja,,,,,,67,businesses,,,,
68,confidencial,,,,,,68,public,,,,
69,limites,,,,,,69,compliance,,,,
70,norma,,,,,,70,regulations,,,,
71,sancion,,,,,,71,access,,,,
72,tratamiento,,,,,,72,app,,,,
73,localizacion,,,,,,73,intrusive,,,,
74,confidenciales,,,,,,74,breaches,,,,
75,ciberbullying,,,,,,75,changes,,,,
76,emails,,,,,,76,regulators,,,,
77,lssi,,,,,,77,internet,,,,
78,netiqueta,,,,,,78,provisions,,,,
79,publicas,,,,,,79,use,,,,
80,mensajeria,,,,,,80,rights,,,,
81,cibercrimen,,,,,,81,comply,,,,
82,asesorias,,,,,,82,termsofservice,,,,
83,integridad,,,,,,83,deletefacebook,,,,
84,redacte,,,,,,84,privacylaw,,,,
85,mecanismos,,,,,,85,monetise,,,,
86,consumidores,,,,,,86,vpns,,,,
87,contrasena,,,,,,87,developers,,,,
88,habitos,,,,,,88,tech,,,,
89,consentimiento,,,,,,89,ethical,,,,
90,descentralizacion,,,,,,90,sensitive,,,,
91,descentralizado,,,,,,91,harvesting,,,,
92,esencial,,,,,,92,platform,,,,
93,garantizar,,,,,,93,tightening,,,,
94,proteger,,,,,,94,dataleak,,,,
95,usuarios,,,,,,95,collects,,,,
96,privacy,,,,,,96,onlinesecurity,,,,
97,zuckerberg,,,,,,97,protecting,,,,
98,religiosas,,,,,,98,gpdr,,,,
99,manualdeuso,,,,,,99,stricter,,,,
