,Spanish dataset,,,,,,,English dataset,,,,
#id,name_ES,Human Annotator 1,Human Annotator 2,Agreement_ES,comments,,#id,name_EN,Human Annotator 1,Human Annotator 2,Agreement_EN,comments
75,cifrar,,,,,,75,personaldata,,,,
76,compartida,,,,,,76,service,,,,
77,robado,,,,,,77,breached,,,,
78,empleada,,,,,,78,scraping,,,,
79,aplicacion,,,,,,79,anonymized,,,,
80,vendida,,,,,,80,terms,,,,
81,decenas,,,,,,81,shared,,,,
82,recopilo,,,,,,82,us,,,,
83,escandalo,,,,,,83,encrypted,,,,
84,via,,,,,,84,everyone,,,,
85,recolecto,,,,,,85,individual,,,,
86,sus,,,,,,86,tos,,,,
87,electores,,,,,,87,mined,,,,
88,vulneracion,,,,,,88,canadians,,,,
89,indebido,,,,,,89,permission,,,,
90,consultora,,,,,,90,additional,,,,
91,determinar,,,,,,91,collection,,,,
92,confidencialidad,,,,,,92,login,,,,
93,mismos,,,,,,93,acquired,,,,
94,ficheros,,,,,,94,revenue,,,,
95,recopilados,,,,,,95,harvesting,,,,
96,acusada,,,,,,96,harvested,,,,
97,aplicaciones,,,,,,97,potentially,,,,
98,cesion,,,,,,98,userbase,,,,
99,colombianos,,,,,,99,content,,,,
